routine,threads,N,lib,total_s,dsytrd_s,dstedc_s,dormtr_s
syevd,1,512,lapack,0.146111,0.038069,0.025681,0.081882
syevd,1,512,openblas,0.036102,0.013030,0.009859,0.012864
syevd,1,1024,lapack,1.111676,0.281696,0.173413,0.655547
syevd,1,1024,openblas,0.238925,0.094370,0.049819,0.093410
syevd,1,2048,lapack,9.019039,2.211757,1.238258,5.564445
syevd,1,2048,openblas,1.860458,0.807033,0.293889,0.753440
syevd,1,4096,lapack,74.168658,18.471334,9.821935,45.842037
syevd,1,4096,openblas,14.454331,6.601044,1.933115,5.898161
