routine,threads,N,lib,total_s,dsytrd_s,dsteqr_s,dorgtr_s
syev,1,512,lapack,0.195591,0.038310,0.103295,0.053723
syev,1,512,openblas,0.125971,0.013059,0.103559,0.009120
syev,1,1024,lapack,1.488524,0.281006,0.771342,0.434221
syev,1,1024,openblas,0.933571,0.095434,0.773326,0.063591
syev,1,2048,lapack,12.276714,2.207817,6.467034,3.587572
syev,1,2048,openblas,7.752406,0.801364,6.447488,0.497810
syev,1,4096,lapack,104.021473,18.323013,55.995102,29.680938
syev,1,4096,openblas,66.314445,6.604089,55.838581,3.868892
