routine,threads,N,lib,total_s,dsytrd_s,dstedc_s,dormtr_s
syevd,1,512,openblas_sve,0.036112,0.013040,0.009901,0.012860
syevd,1,512,openblas_simd,0.046282,0.020707,0.010622,0.014652
syevd,1,1024,openblas_sve,0.239625,0.094641,0.049922,0.093755
syevd,1,1024,openblas_simd,0.328815,0.161736,0.056134,0.109425
syevd,1,2048,openblas_sve,1.859989,0.809142,0.293878,0.749559
syevd,1,2048,openblas_simd,2.441883,1.205381,0.339809,0.891084
syevd,1,4096,openblas_sve,14.421268,6.609868,1.925187,5.864612
syevd,1,4096,openblas_simd,19.845706,10.394418,2.277013,7.151991
