routine,threads,N,lib,total_s,dsytrd_s,dsteqr_s,dorgtr_s
syev,1,512,openblas_sve,0.125205,0.013017,0.102757,0.009159
syev,1,512,openblas_simd,0.134987,0.020643,0.103619,0.010459
syev,1,1024,openblas_sve,0.934040,0.096265,0.772895,0.063790
syev,1,1024,openblas_simd,1.007094,0.160140,0.770687,0.075128
syev,1,2048,openblas_sve,7.857172,0.902494,6.454603,0.497025
syev,1,2048,openblas_simd,8.216187,1.164188,6.465014,0.589900
syev,1,4096,openblas_sve,66.711726,7.229265,55.607227,3.860889
syev,1,4096,openblas_simd,70.707082,10.353132,55.628077,4.705564
